SUMMARY OUTPUT,,,,,
,,,,,
Regression Statistics,,,,,
Multiple R,0.9176,,,,
R Square,0.8420,,,,
Adjusted R Square,0.8415,,,,
Standard Error,1.2405,,,,
Observations,4745,,,,
,,,,,
ANOVA,,,,,
,df,SS,MS,F,Significance F
Regression,5,2145.67,429.13,278.85,1.4E-254
Residual,4739,7293.11,1.53,,
Total,4744,9438.78,,,,
,,,,,
,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%
Intercept,11.200,0.450,24.88,0.000,10.31,12.08
Rain_mm,0.045,0.002,22.50,0.000,0.041,0.049
Humidity,0.015,0.005,3.00,0.002,0.005,0.025
Temperature,-0.021,0.010,-2.10,0.035,-0.041,-0.001
Wind_Speed,-0.008,0.005,-1.60,0.110,-0.018,0.002
Heat_Index,0.012,0.004,3.00,0.003,0.004,0.020
,,,,,
,,,,,
--- HISTORICAL DATA SAMPLE USED FOR TRAINING (First 20 Rows) ---,,,,,,
Date,Rain_mm,Humidity,Temperature,Wind_Speed,Heat_Index,Actual_Water_Level
2012-08-05,10.5,82,29.1,10,31.0,13.2
2012-08-06,25.4,85,28.5,12,30.2,14.5
2012-08-07,150.2,95,26.1,25,27.5,18.2
2012-08-08,80.5,92,26.8,18,28.1,17.5
2012-08-09,45.0,88,27.5,15,29.0,16.1
2013-08-18,5.2,80,30.5,8,32.5,12.8
2013-08-19,110.8,94,26.5,22,27.8,17.1
2013-08-20,95.4,93,26.2,20,27.4,16.8
2014-09-17,0.0,75,32.1,5,34.2,11.5
2014-09-18,65.3,89,27.8,16,29.5,15.2
2014-09-19,120.6,96,25.9,28,26.8,17.9
2018-08-10,10.0,81,29.8,11,31.5,13.5
2018-08-11,180.5,98,25.5,30,26.1,19.2
2018-08-12,90.2,94,26.0,24,26.9,18.5
2020-11-10,0.0,78,31.5,6,33.1,12.0
2020-11-11,145.0,97,25.8,35,26.5,18.8
2020-11-12,210.5,99,25.1,45,25.5,21.5
2022-09-24,5.0,80,30.2,9,31.8,12.5
2022-09-25,130.4,95,26.3,26,27.2,17.6
2022-09-26,75.8,91,27.1,19,28.5,16.4
